#Org,Prog,Econ,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,311,62500,MOBILIARIO Y ENSERES,,,,,,3593.7,3406.15
,312,22699,GASTOS DIVERSOS CONCEJALIA SANIDAD,,,,,,119011.21,123988.28
,313,22699,PROMOCION DE LA SALUD,,,,,,61200,34364.11
,320,22691,GASTOS VARIOS CHESTE DECIDE,,,,,,,
,320,22699,GASTOS DIVERSOS CONCEJALIA EDUCACION,,,,,,22387.5,67272.47
,320,47200,EDUCACIÓN SUB.REDUCIR  PRECIO A PAGAR POR LOS CONSUMIDOREES,,,,,,7000,3860
,320,62500,MOBILIARIO Y ENSERES,,,,,,,
,323,21200,EDUCACIÓN.- REPARAC. Y MANT. EDIFICIOS,,,,,,30000,11803.58
,323,22100,EDUCACIÓN. ENERGÍA ELECTRÍCA. COLEGIOS,,,,,,45000,46325.33
,323,22102,EDUCACIÓN. COMBUSTIBLE GAS,,,,,,12000,8045.82
,323,22700,EDUCACIÓN.LIMPIEZA Y ASEO.,,,,,,60000,51234.61
,323,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,323,63200,INVERSION EN EDIFICIOS Y CONSTR ENSEÑANZA PREESCOLAR,,,,,,38000,
,324,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,15583.48,15293.16
,324,50000,OTRAS ENSEÑANZAS (BECAS). FONDO DE CONTINGENCIA,,,,,,2000,
,326,13000,OTRAS ENSEÑANZAS. .RETRIBU BÁSICAS LABORALES.,,,,,,109621.7,86950.77
,326,13002,OTRAS ENSEÑANZAS. OTRAS RETRIBU.PERSONAL LABORAL,,,,,,100436.47,88907.57
,326,20300,OTRAS ENSEÑANZAS. ARRENDAMIENTO MAQUINARIA,,,,,,1500,1532.05
,326,21200,OTRAS ENSEÑANZAS. REPARAC. Y  MANTENIMIENTO EDIF.,,,,,,2000,2975.45
,326,22100,OTRAS ENSEÑANZAS. ENERGÍA ELECTRÍCA,,,,,,22500,17777.1
,326,22609,ESCUELAS DE VERANO,,,,,,98557.9,53083.13
,326,22699,PROMOCIÓN EDUCATIVA.GASTOS DIVERSOS (EPA),,,,,,99063.5,51388.2
,326,48900,SUBVENCIONES CONCEJALIA EDUCACIÓN,,,,,,10900,8000
,326,50000,OTRAS ENSEÑANZAS. FONDO DE CONTINGENCIA,,,,,,1198.25,
,326,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,10000,8046.5
,326,62500,PROMOCION EDUCATIVA. EPA MOBILIARIO Y ENSERES,,,,,,,
,326,62600,PROMOCION EDUCATIVA. EPA EQUIPOS INFORMATICOS,,,,,,,
,326,62900,OTROS ESPACIOS EDUCATIVOS. OTRAS INVERSIONES (CHD),,,,,,,
,326,63200,PLAN DE MEJORA DE ESPACIOS EDUCATIVOS,,,,,,17051.81,8051.81
,327,22618,PROGRAMA PARA LA MUJER,,,,,,16476.74,12871.02
,327,22619,PROGRAMAS SOCIO-CULTURALES MAYORES,,,,,,8000,7675.15
,327,22699,GASTOS DIVERSOS,,,,,,,
,330,48900,SUBVENCIONES CONCEJALIA CULTURA,,,,,,81300,77736.7
,334,21200,PROMOCIÓN CULTURAL. REPARAC. MANTEN. EDIFICIOS Y O.CONSTRUC,,,,,,4000,10009.41
,334,22100,PROMOCIÓN CULTURAL.ENERGÍA ELECTRÍCA.,,,,,,24000,16864.96
,334,22609,PROGRAMAS DE JUVENTUD,,,,,,25000,7582.06
,334,22699,PROMOCIÓN CULTURAL. GASTOS DIVERSOS (SARC),,,,,,123126,202467.62
,334,22700,PROMOCION CULTURAL. TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,,,16500,18000
,334,48100,PROMOCIÓN CULTURAL. PREMIOS Y BECAS DE ESTUDIO E INVESTIGA,,,,,,9000,5612.75
,334,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,337,20200,ARRENDAMIENTOS EDIFICIOS,,,,,,54645.72,59199.53
,337,21200,REPARAC. Y  MANTENIMIENTO TEATRO LICEO,,,,,,4000,11377.09
,337,22612,ACTOS PARALELOS MUNDIAL MOTOCICLISMO,,,,,,12000,18087.66
,337,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE. TEATRO LICEO",,,,,,,
,338,20200,ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,,,,,,3267,4356
,338,22609,FESTEJOS POPULARES. ACTIVIDADES CULTURALES Y DEPORTIVAS,,,,,,110350,120540.31
,338,48100,FESTEJOS POPULARESPREMIOS Y BECAS DE ESTUDIO E INVESTIGACION,,,,,,5000,2000
,338,48900,SUBVENCIONES CONCEJALIA FIESTAS,,,,,,7600,3800
,340,48900,SUBVENCIONES CONCEJALIA DEPORTES,,,,,,220800,215600
,340,62500,MOBILIARIO Y ENSERES,,,,,,,
,341,22609,EMD Y MANTENIMIENTO INSTALACIONES,,,,,,21000,10770.77
,341,22699,DEPORTES. GASTOS DIVERSOS,,,,,,23061.62,6594.81
,342,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC POLIDEPORTIVO,,,,,,5000,8843.09
,342,22100,ENERGÍA ELECTRÍCA. POLIDEPORTIVO,,,,,,35000,24334.48
,342,22102,INSTALACIONES DEPORTIVAS.GAS.,,,,,,5000,1771.86
,342,22110,PRODUCTOS LIMPIEZA Y ASEO POLIDEPORTIVO-PISCINAS,,,,,,,
,342,22700,LIMPIEZA Y ASEO POLIDEPORTIVO,,,,,,14000,
,342,61900,INST. DEPORTIVAS. INVERSION REPOSICION USO GENERAL,,,,,,,
,342,62200,INSTALACIONES DEPORTIVAS. INVERS. EDIF. Y OTRS. CONSTR.,,,,,,1179.75,1179.75
,342,62201,INVERS. EDIF. Y OTRAS CONSTRUC. VESTUARIOS CAMPO FUTBOL,,,,,,,
,342,62202,INVERS. EDIF. Y OTRAS CONSTRUC. ANEXO CAMPO FUTBOL,,,,,,,
,342,63200,REPARACION SUMIDERO PERIMETRAL PISCINA MUNICIPAL (PINV),,,,,,48400,
,342,63201,ACTUACIONES EN PISCINA MUNICIPAL MEDIANA (PINV),,,,,,48400,
,410,22100,AGRICULTURA.ENERGÍA ELECTRÍCA,,,,,,1500,1276.32
,414,22699,AGRICULTURA Y MEDIO AMBIENTE. GASTOS DIVERSOS,,,,,,7500,907.5
,414,48900,SUBVENCIONES CONCEJALIA AGRICULTURA,,,,,,4000,2895.74
,420,22706,INDUSTRIA. TRABAJOS TECNICOS REALIZADOS POR OTRAS EMPRESAS,,,,,,,
,422,60000,TERRENOS Y BIENES NATURALES INDUSTRIALES DE USO COMUN,,,,,,,
,432,21200,REPARAC. Y MANT. ALBERGUE MUNICIPAL,,,,,,2500,185.74
,432,22602,MATERIAL PROMOCION TURISTICA,,,,,,12000,749.31
,432,22699,GASTOS DIVERSOS TURISMO,,,,,,10000,4025
,432,60000,ADQUISICION DE TERRENOS,,,,,,,
,433,47000,SUBV FOMENTO EMPLEO.,,,,,,300000,151800
,454,21000,CAMINOS VECINALES.REPAR. INFRAESTRUC Y BIENES NATUR,,,,,,40000,54932.99
,454,61900,PCV 2018,,,,,,20666.89,
,454,61901,DESVIO BARRANCO DE LA SILLETA,,,,,,118749.81,
,454,61902,INVERSIÓN CAMINOS,,,,,,45496,
,912,10000,ORGANOS DE GOBIERNO. RETRIB.BÁSICAS,,,,,,133420.39,211706.99
,912,10001,ORGANOS DE GOBIERNO.OTRAS REMUNERACIONES.,,,,,,3000,
,912,22601,ORGANOS DE GOBIERNO.ATENCIONES PROTOCOLARIAS Y REPRESENTATI,,,,,,10000,8247.43
,912,22602,ORG. GOBIERNO.PUBLICIDAD GABINETE DE PRENSA Y COMUNICACIÓN,,,,,,46000,61785.8
,912,22699,GASTOS DIVERSOS,,,,,,,144.56
,912,23000,ORGANOS DE GOBIERNO.DIETAS DE CARGOS ELECTOS,,,,,,500,780.2
,912,23100,LOCOMOCIÓN ÓRGANOS DE GOBIERNO,,,,,,2000,218.03
,912,23300,ORGANOS DE GOBIERNO OTRAS INDEMNIZACIONES,,,,,,4000,370
,912,48900,ASIGNACION/AYUDA GRUPOS POLITICOS,,,,,,8000,9120
,912,50000,ORGANOS DE GOBIERNO. FONDO DE CONTINGENCIA,,,,,,3500,
,920,12000,ADMON. GRAL. RETRI BÁSICAS GRUPO A1,,,,,,46732.98,31856.24
,920,12001,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO A2.,,,,,,27396.12,28012.56
,920,12003,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO C1.,,,,,,104912.4,84121.59
,920,12004,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO C2.,,,,,,62247.78,54556.56
,920,12005,ADMINISTRACIÓN GENERAL. RETRIB BÁSICAS GRUPO E.,,,,,,24448.62,24324.25
,920,12006,ADMINISTRACIÓN GENERAL.TRIENIOS.,,,,,,49371.36,50682.31
,920,12009,ADMINSTRACIÓN GENERAL. OTRAS RETRIBUCIONES BÁSICAS.,,,,,,30000,3822.62
,920,12100,ADMINISTRACIÓN GENERAL. RETRIB. COMPLEMENTO DESTINO,,,,,,172870.46,145606.03
,920,12101,ADMINISTRACIÓN GENERAL. RETRIB. COMPLEMENTO ESPECÍFICO,,,,,,308882.84,266818.66
,920,13000,P. LABORAL FIJO ADMÓN GENERAL. RETRIBUCIONES BÁSICAS,,,,,,229102.8,177228.97
,920,13002,P. LABORAL FIJO ADMÓN GENERAL. OTRAS RETRIBUCIONES,,,,,,323923.37,260044.51
,920,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL ADMÓN GENERAL,,,,,,625594.19,378046.89
,920,15000,P. FUNCIONARIO ADMÓN GENERAL. PRODUCTIVIDAD,,,,,,12040,11402.44
,920,15100,GRATIFICACIONES,,,,,,220000,218498.55
,920,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,,,,,,4000,255
,920,16205,ADMINISTRACIÓN GENERAL. SEGUROS,,,,,,15000,68249.88
,920,20200,ADMON GENERAL ARRENDAMIENTOS EDIFICIOS,,,,,,13800,13794.3
,920,20300,ADM GENERAL. ARRENDAMIENTO MAQU. INSTALAC. Y UTILL. GRAL.,,,,,,4000,29829.45
,920,20400,ARRENDAMIENTO ELEMENTO DE TRANSPORTE (RENTING VEHIC),,,,,,15500,7986
,920,21200,BIENESTAR COMUNITARIO.REPARAC. MANTENI. EDIF Y O.CONSTRUC,,,,,,15000,34784.54
,920,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,2000,3098.22
,920,21400,BIENESTAR COMUNITA.IMANTEN. Y REPARAC. VEHICULOS MUNICIPALES,,,,,,15000,23329.7
,920,21500,BIENESTRA COMUNITARIO.MANT. Y REPARAC. MOBILIARIO Y ENSERES,,,,,,29000,28285.78
,920,21600,MANT. Y REPARAC. EQUIPOS INFORMATICOS ADMON. GRAL.,,,,,,43000,32003.9
,920,22000,ADM. GRAL.MATERIAL DE OFICINA,,,,,,20000,10664.9
,920,22001,ADM. GRAL LIBROS Y PRENSA,,,,,,1000,
,920,22002,ADM GENERAL MATERIAL INFORMÁTICO NO INVENTARIABLE.,,,,,,43000,49794.76
,920,22100,BIENESTAR COMUNITARIO. ENERGÍA ELECTRÍCA,,,,,,22987.56,17488.25
,920,22103,ADM.GRAL COMBUSTIBLE Y CARBURANTES,,,,,,20000,19014.35
,920,22104,VESTUARIO SERVICIO MANTENIMIENTO MUNICIPAL,,,,,,10000,3560.46
,920,22110,ADM. GRAL PRODUCTOS DE LIMPIEZA Y ASEO.,,,,,,29000,14001.24
,920,22200,ADM. GRALTELEFONICAS,,,,,,18000,27264.14
,920,22201,ADM. GRAL.POSTALES,,,,,,34000,22638.2
,920,22300,ADM. GRALTRANSPORTES,,,,,,200,20.9
,920,22400,ADM. GRAL. PRIMAS DE SEGUROS,,,,,,37625.48,17458.74
,920,22603,"ADM. GRALPUBLICACIONES OFICIALES (BOP, DOG, ...)",,,,,,10000,7863.38
,920,22604,ADM. GRAL. GASTOS NOTARIALES Y REGISTRALES,,,,,,8000,33048.62
,920,22609,ADM. GRAL. TRANSPARENCIA,,,,,,15000,260.15
,920,22699,ADMINIS GENERAL. GASTOS DIVERSOS,,,,,,51800,71448.83
,920,22700,LIMPIEZA Y ASEO.,,,,,,,
,920,22706,ESTUDIOS Y TRABAJOS TECNICOS,,,,,,13658.54,
,920,22707,ADM.GRAL ASESORAMIENTO JURÍDICO,,,,,,80000,56567.5
,920,22709,TRABAJOS REALIZADOS POR OTROS PROFESIONALES,,,,,,20000,18077.4
,920,22799,ADMINISTRACIÓN GENERAL. TRABAJOS REALIZADOS OTRAS EMPRESAS,,,,,,5000,
,920,23020,ADM.GRAL.DIETAS DEL PERSONAL,,,,,,1500,
,920,23120,ADMINISTRACIÓN GENERAL. LOCOMOCIÓN,,,,,,1500,32.32
,920,35200,ADMINSTRACION GENERAL INTERESES,,,,,,,
,920,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,,,,
,920,46600,TRANSFERENICAS FEDERACION MUNICIPIOS,,,,,,3000,3214.49
,920,46700,TRANFERENICAS A CONSORCIOS,,,,,,,
,920,48100,ADMINISTRACION GEN. PREMIOS Y BECAS,,,,,,40100,2996.65
,920,50000,ADMÓN GENERAL. FONDO DE CONTINGENCIA,,,,,,6986.21,
,920,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,5000,3471.56
,920,62301,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,,
,920,62400,VEHÍCULO ADMON. GENERAL. TRACTOR (PINV),,,,,,72600,
,920,62500,ADMIINISTRACION GENERAL. MOBILIARIO Y ENSERES,,,,,,7374.52,7363.25
,920,62600,ADMIINISTRACION GENERAL. EQUIPOS PARA PROCESOS INFORMATICOS,,,,,,10000,8240.48
,920,83000,ADMIINISTRACION GENERAL. PRESTAMOS PERSONAL,,,,,,20000,4800
,922,22705,PROCESOS ELECTORALES,,,,,,2000,
,924,22698,CHD PLAZA DR CAJAL,,,,,,10000,
,924,22699,PARTICIPACIÓN CIUDADANA. OTROS GASTOS DIVERSOS,,,,,,19000,15146.77
,929,35900,OTROS GASTOS FINANCIEROS,,,,,,151.25,151.25
,929,62500,MOBILIARIO Y ENSERES,,,,,,,
,932,22500,TRIBUTOS,,,,,,80000,80500.14
,932,22708,SERVICIOS DE RECAUDACION,,,,,,24000,16714.13
,933,60900,OBRAS DE INVERSIONES. ROTONDA PINO BLAY,,,,,,,
,933,63200,GESTGION DEL PATRIMONIO.NVERSION EN EDIFICIOS Y OTRAS CONST,,,,,,,
,933,63201,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,933,63202,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,933,63203,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,2.7,
,933,63204,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,65494.42,65494.42
,933,63205,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,933,63206,INV OBRAS DE MEJORA EDIFICIO POLICIA,,,,,,269553.17,
,933,63207,REFORMAS Y ADECUACIÓN CEIP VTE BLASCO IBAÑEZ,,,,,,380300.32,
,933,63208,REFORMAS Y ADECUACIÓN CEIP Nº 3,,,,,,632024.99,14764.56
,933,63209,AMPLIACIÓN AULARIO IES RICARDO MARIN,,,,,,1172319.54,1327.37
,933,63301,SUSTITUCION AIRE ACONDICIONADO CASA CONSISTORIAL,,,,,,48.56,
,933,68200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,934,35900,OTROS GASTOS FINANCIEROS,,,,,,10000,10000
,942,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,,,44893.65,44371.96
,1531,61900,INVERS. EN INFRAESTR. Y OTROS. CONEXIÓN Pº A. BALAGUER,,,,,,,
,1532,21300,"VIAS PÚBLICAS.REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,21489.51,11661.81
,1532,22699,VÍAS PÚBLICAS. MANT. SERVICIOS BIENESTAR COMUNITARIO,,,,,,13582.75,1465.31
,1532,61900,PAVIMENTACION VIAS PUBLICAS,,,,,,113564.57,
,1532,61901,INV DE REURBANIZACION RINCON DE PATIÑO,,,,,,7914.72,6413
,1532,61902,REURBANIZACION C/ PERALES,,,,,,,
,1532,61903,INVERS EN INFRAESTR Y OTROS. CONEXION Pº A. BALAGUER,,,,,,112037.97,99838.76
,1532,61905,REURBANIZACION CALLE ACEQUIEROS,,,,,,44170.19,44160.19
,1532,61906,ASFALTADO VIAS PUBLICAS IFS 2018,,,,,,31814.94,31814.94
,1532,61907,INVERSIONES REPOS. Y OTROS. PAVIMENTACION PZA 11 MARZO,,,,,,,
,1532,61908,ASFALTADOS VIAS PCAS (ENAJENAC. PARC.),,,,,,,
,1532,62500,MOBILIARIO Y ENSERES,,,,,,5268.67,4891.75
,1621,22700,"RECOGIDA, ELIMINAICÓN RESIDUOS .LIMPIEZA Y ASEO",,,,,,402070.44,364147.29
,1623,22700,TRATAMIENTO RESIDUOS,,,,,,6000,1039.8
,1721,22699,PROTECCIÓN Y MEJORA MEDIO AMBIENTE. GASTOS DIVERSOS,,,,,,19500,30777.18
,2311,22699,ALQUILER SOCIAL. GASTOS DIVERSOS,,,,,,45000,2117.85
,3321,22699,BIBLIOTECAS MUNICIPALES. GASTOS DIVERSOS,,,,,,5000,3656.43
,3321,62500,LIBROS Y ENSERES BIBLIOTECA MUNICIPAL,,,,,,4000,3999.73
,3321,63200,ACONDICIONAMIENTO 2 PLANTA BIBLIOTECA (PINV),,,,,,161965.53,
,3322,22706,ARCHIVO. ESTUDIOS Y TRABAJOS TECNICOS. DIGITALIZACION,,,,,,33000,16293.5
,3322,62500,MOBILIARIO ARCHIVO,,,,,,,
,4312,21200,COMERCIO. REPARAC. Y MANT.,,,,,,1500,3015.04
,4312,22100,COMERCIO.ENERGÍA ELECTRÍCA,,,,,,15000,18554.8
,4312,22699,COMERCIO. GASTOS DIVERSOS,,,,,,11000,16258.54
,4312,48900,SUBVENCIONES CONCEJALIA COMERCIO,,,,,,300,
