#Ejercicio,Org,Econ,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2019,,33500,T. ODPL OCUPAC. VIA PÚBLICA CON MESAS Y SILLAS,,,27000,19752.45
2019,,33800,T. COMPENSACION TELEFONICA ESPAÑA SA,,,19000,12471.83
2019,,33900,T. UTILIZACION PRIVATIVA DEL DOMINIO PUBLICO,,,37000,7076.56
2019,,33901,OCUPACION VIA PUBLICA ACTIVIDADES PARALELAS MUNDIAL MOTOCICL,,,23000,28765.55
2019,,33902,T. ODPL NICHOS CEMENTERIO,,,9000,5433
2019,,33903,DE FAM.E INST.SIN FINES LUCRO.GAN.APRV.PASTOS,,,14000,29649.3
2019,,33904,T.ODPL. OCUP. VIA PCA. MATERIALES/MAQUINARIA CONSTRUC.,,,2000,4484.04
2019,,36000,PLACAS  VADOS Y CICLOMOTORES,,,50,42
2019,,36900,OTRAS VENTAS,,,400,582.58
2019,,38900,REINTEGROS,,,27000,2746.46
2019,,39120,MULTAS,,,27000,52482.48
2019,,39200,RECARGOS POR DECLARACION EXTEMP SIN REQUERIMIENTO PREVIO,,,1000,120.62
2019,,39211,RECARGO DE APREMIO,,,42000,33552.85
2019,,39212,COSTAS RECAUDACION,,,500,
2019,,39301,INTERESES DE DEMORA,,,12000,14586.46
2019,,39610,Cuotas de urbanización,,,,
2019,,39700,CANON POR APROVECHAMIENTOS URBANÍSTICOS.,,,,
2019,,39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA,,,1000,
2019,,39900,OTROS INGRESOS DIVERSOS.,,,1000,6543.11
2019,,39901,RECURSOS EVENTUALES,,,8000,
2019,,39902,ANUNCIOS,,,300,953.85
2019,,42000,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,,,1634998.92,1458853.8
2019,,42090,OTRAS TRANSFERENCIAS CORRIENTES DEL ESTADO,,,2195.96,4550.35
2019,,42300,"DE EMPRESAS PUBLICAS Y OTROS ENTES(FVMP,..)",,,,1970.87
2019,,45001,TRANSFERENCIAS CCAA INCONDICIONADAS,,,19879.42,
2019,,45002,DE LA ADMON. GRAL. C.V. CONS. SANIDAD (UPC),,,12000,
2019,,45003,DE LA ADMON GENERAL DE LAS CCAA (EMCORD),,,,
2019,,45004,DE LA ADMON GENERAL DE LAS CCAA (EMCORP),,,25499.34,17849.53
2019,,45005,TRANSFERENCIAS CORRIENTES DE LAS CCAA,,,59063.5,
2019,,45030,"CONSELLERIA DEPORTES/EDUCACIÓN (EPA, programas deportivos...",,,40000,57129.02
2019,,45050,DE LA ADMON. GRAL C.V.  CONS. (ADL),,,80328.68,225785.35
2019,,45051,DE LA ADMON GENERAL DE CCAA (EMCUJU),,,51595.6,
2019,,45052,DE LA ADMON GENERAL DE CCAA (EMPUJU),,,37732.16,
2019,,45080,DE LA ADMON. GRAL. C.V. CONS. TURISMO Y OTROS,,,,42799.99
2019,,46100,"DIPUTAC. PROVINCIAL CULTURA/BIENESTAR SOCIAL (JUVENT., SARC.",,,98437.16,251964.91
2019,,46101,TRANSFERENCIAS DE DIPUTACION INCONDICIONADAS,,,104933,110502
2019,,46202,OTRAS SUBVENCIONES DIPUTACION PROVINCIAL,,,5600,32526.41
2019,,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,
2019,,47000,APORT.EMPRESAS PRIVADAS (MUNDIAL),,,,
2019,,47001,TRANSFERENCIAS DE EMPRESAS PRIVADAS,,,,
2019,,48001,DE FAMILIAS E INSTITUCIONES (ENTS BANCARIAS),,,,5000
2019,,48002,TRANSFERENCIAS CORRIENTES. OTROS,,,,518.59
2019,,48004,DONACIONES,,,,
2019,,52000,INTERESES EN CUENTAS CORRIENTES,,,6000,1528.97
2019,,54200,PRODUCTO ARRENDAMIENTOS FINCAS RUSTICAS,,,17000,23212.97
2019,,55000,DE CONCESIONES ADMTIVAS CON CONTRAPRESTACIÓN PERIÓDICA,,,30000,10169.99
2019,,55500,EXPLOTACION CANTERAS,,,,
2019,,55900,OTROS (CANONES),,,51000,31828
2019,,60000,ENAJENACION SOLARES,,,625200,492335
2019,,60100,ENAJENACION FINCAS RUSTICAS,,,,8857.34
2019,,60200,PARCELAS SOBRANTES VIA PUBLICA,,,,
2019,,72000,TRANSFERENCIAS DE CAPITAL DEL ESTADO,,,,
2019,,75000,SUBVENCION GENERALITAT,,,19999.99,
2019,,75001,CONSELLERIA (PLAN MEJORA MUNICIPIOS C.V.),,,,
2019,,75003,TRANSFERENCIAS DE CAPITAL DE LA CCAA EN MATERIA DE EDUCACION,,,,
2019,,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,,,
2019,,75080,Otras transferencias de capital de la Administración General,,,2483160.92,1310841.38
2019,,76100,TRANSFERENCIAS DE CAPITAL DE DIPUTACIÓN.,,,621519.65,545128.47
2019,,76104,TRANSFERENCIAS DE CAPITAL,,,,
2019,,76300,DE MANCOMUNIDADES DE MUNICIPIOS,,,,
2019,,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,,,,
2019,,78000,TRANSFERENCIA FAMILIAS E  INST. SIN FINES LUCRO,,,,
2019,,83000,REINTEGRO DE PRÉSTAMOS AL PERSONAL,,,20000,15166.64
2019,,87000,REMANENTE DE TESORERIA,,,397233.95,
2019,,87010,APLICACION FINANCIACION INCORPORAC CREDITO (RTE. TES. GFA),,,2200635.35,
2019,,91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
2019,,91101,PRÉSTAMOS INVERSIONES LARGO PLAZO,,,,
2019,,91300,Préstamos recibidos a largo plazo de entes de fuera del sect,,,,
