#Org,Prog,Econ,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,133,22109,ORDENACIÓN DEL TRAFICO Y ESTACIONAMIENTO. PLACAS SEÑALIZACIO,,,,,,12500,14835.58
,133,22711,RETIRADA DE VEHICULOS,,,,,,12500,14064.83
,135,22699,GASTOS DIVERSOS. PROTECCION CIVIL,,,,,,5000,2258.52
,151,12000,URBANISMO. RETRIBUCIONES BÁSICAS GRUPO A1,,,,,,30432.04,28837.85
,151,12001,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO A2.,,,,,,29958.8,29436.54
,151,12003,URBANISMO RETRIBUCIONES BÁSICAS  GRUPO C1.,,,,,,20495.33,21256.42
,151,12004,URBANISMO RETRIBUCIONES BÁSICAS GRUPO C2.,,,,,,8686.09,8101.76
,151,12006,URBANISMO. RETRIBUCIONES BÁSICAS TRIENIOS.,,,,,,19198.76,17904.35
,151,12100,URBANISMO Y ARQUITECTURA.RETRIB. COMPL. DESTINO.,,,,,,57803.06,55263.98
,151,12101,URBANISMO Y ARQUITECTURA. RETRIB. COMPL. ESPECIFICO.,,,,,,91011.07,82290.38
,151,15000,URBANISMO PRODUCTIVIDAD,,,,,,4000,3712.8
,151,22100,URBANISMO. ENERGIA ELECTRICA,,,,,,,1171.56
,151,22608,URBANISMO. GASTOS DIVERSOS,,,,,,5000,
,151,22699,URBANISMO OTROS GASTOS DIVERSOS,,,,,,1169.47,1731.98
,151,22706,URBANSIMO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,144000,111090.27
,151,50000,URBANISMO. FONDO DE CONTINGENCIA,,,,,,,
,151,62700,REVISION PGOU,,,,,,32664.34,
,151,63200,URBANISMO. INV EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,2000,
,155,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE. PILONAS",,,,,,22176.02,
,160,22706,ALCANTARILLADO. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,15000,847.24
,160,61900,INV DE REPOSICION EN ELEMENTOS DE ALCANTARILLADO,,,,,,15000,14999.99
,161,22101,"ABASTECIMIENTO DOMICILIARIO DE AGUA, CONSUMO AGUA",,,,,,95000,86859.47
,161,22706,ABASTECIMIENTO AGUA POTABLE. ESTUDIOS Y TRABAJOS TECNICOS,,,,,,31000,
,161,48000,SUBVENCIONES BIENESTAR COMUNITARIO,,,,,,50000,50000
,163,22700,LIMPIEZA VIARIA. LIMPIEZA Y ASEO.,,,,,,1000,313.39
,164,21200,CEMENTERIIO. RREPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,,,,,,2500,527.55
,164,62200,CEMENTERIO. INVERSION NUEVA EDIFICIOS Y OTRAS,,,,,,20000,19984.36
,165,21300,"ALUMBRADO PÚBLICO.REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,15000,41807.6
,165,22100,ALUMBRADO PÚBLICO.ENERGÍA ELECTRÍCA.,,,,,,140000,102008.2
,171,22699,PARQUES Y JARDINES.OTROS GASTOS DIVERSOS,,,,,,11000,32731.01
,171,22700,PARQUES Y JARDINES.LIMPIEZA Y ASEO,,,,,,175000,105275.85
,171,60900,PARQUES Y JARDINES. INV. INFRAESTRUCTURAS Y B. USO GENERAL,,,,,,8819,8481.13
,171,61900,INVERSION EN PARQUES Y JARDINES PARA USO GENERAL,,,,,,248879.3,29951.83
,171,61901,INV ACCESIBILIDAD CALLE ACEQUIA,,,,,,38000,37999.99
,171,61902,REDUCCION IMP ACTO ACUSTICO CV50,,,,,,5000,
,171,62500,PARQUES Y JARDINES. MOBILIARIO Y ENSERES,,,,,,11181,10928.72
,171,62501,PARQUES Y JARDINES. MOBILIARIO Y ENSERES PARA ARBOLEDA,,,,,,10000,7007.19
,173,62300,INSTALACIONES TECNICAS. MEJORA MEDIO AMBIENTE,,,,,,,
,230,22699,ADMINISTRACION GENERAL SS. GASTOS DIVERSOS,,,,,,960.24,
,231,16000,SEGURIDAD SOCIAL,,,,,,1015997.16,946856.33
,231,16008,ASISTENCIA MÉDICO FARMACEÚTICA A FUNCIONARIOS,,,,,,30000,19303.47
,231,21200,SERVICIOS SOCIALES. REPARACION Y MANTENIMIENTO,,,,,,2000,1214.37
,231,22100,SERVICIOS SOCIALES. ENERGIA ELECTRICA,,,,,,5000,2148.86
,231,22613,"PROGRAMA """"MENJAR A CASA""""",,,,,,5000,4007.84
,231,22616,SERVICIO AYUDA A DOMICILIO,,,,,,40000,30859.3
,231,22699,ACCIÓN SOCIAL. GASTOS DIVERSOS,,,,,,110000,54686.02
,231,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,5700,5002.5
,231,50000,SEGURIDAD SOCIAL. FONDO DE CONTINGENCIA,,,,,,,
,241,22699,FOMENTO DEL EMPLEO.GASTOS DIVERSOS,,,,,,80000,66209.79
,241,47000,FOMENTO DEL EMPLEO.SUBVENCIONES PARA FOMENTO DEL EMPLEO.,,,,,,30000,1200
,311,22106,PRODUCTOS FARMACÉUTICOS (BOTIQUINES),,,,,,50,
,311,22113,MANUTENCIÓN DE ANIMALES,,,,,,500,892.07
,311,22700,ACCIONES RELATIVAS A LA SALUD. TRABAJOS OTRAS EMPRESAS,,,,,,22000,27040.19
,312,22699,GASTOS DIVERSOS CONCEJALIA SANIDAD,,,,,,60000,33937.8
,313,22699,PROMOCION DE LA SALUD,,,,,,5000,
,320,22691,COLEGIOS. GASTOS VARIOS CHESTE DECIDE,,,,,,3444.02,1500.4
,320,22699,GASTOS DIVERSOS CONCEJALIA EDUCACION,,,,,,25000,24096.84
,320,47200,EDUCACIÓN SUB.REDUCIR  PRECIO A PAGAR POR LOS CONSUMIDOREES,,,,,,7000,3860
,320,62500,COLEGIOS. MOBILIARIO,,,,,,15048.45,13910.92
,320,62700,COLEGIOS. PROYECTOS COMPLEJOS,,,,,,5000,3980.9
,323,21200,EDUCACIÓN.- REPARAC. Y MANT. EDIFICIOS,,,,,,82000,45409.56
,323,22100,EDUCACIÓN. ENERGÍA ELECTRÍCA. COLEGIOS,,,,,,45000,46161.66
,323,22102,EDUCACIÓN. COMBUSTIBLE GAS,,,,,,8200,10034.18
,323,22700,EDUCACIÓN.LIMPIEZA Y ASEO.,,,,,,60000,57530.41
,324,48000,ATENCIONES BENEFICAS Y ASISTENCIALES (SERV. SOCIAL),,,,,,100789.75,59584
,324,50000,OTRAS ENSEÑANZAS (BECAS). FONDO DE CONTINGENCIA,,,,,,,
,326,13000,OTRAS ENSEÑANZAS. .RETRIBU BÁSICAS LABORALES.,,,,,,104583.45,93931.21
,326,13002,OTRAS ENSEÑANZAS. OTRAS RETRIBU.PERSONAL LABORAL,,,,,,95672.57,91179.81
,326,20300,OTRAS ENSEÑANZAS. ARRENDAMIENTO MAQUINARIA,,,,,,1000,
,326,21200,OTRAS ENSEÑANZAS. REPARAC. Y  MANTENIMIENTO EDIF.,,,,,,2000,1654.48
,326,22100,OTRAS ENSEÑANZAS. ENERGÍA ELECTRÍCA,,,,,,22300,22095.01
,326,22609,ESCUELAS DE VERANO,,,,,,31000,26672.21
,326,22699,PROMOCIÓN EDUCATIVA.GASTOS DIVERSOS (EPA),,,,,,50000,39757.51
,326,48900,SUBVENCIONES CONCEJALIA EDUCACIÓN,,,,,,10900,6400
,326,50000,OTRAS ENSEÑANZAS. FONDO DE CONTINGENCIA,,,,,,,
,326,62500,PROMOCION EDUCATIVA. EPA MOBILIARIO Y ENSERES,,,,,,8220,8086.21
,326,62600,PROMOCION EDUCATIVA. EPA EQUIPOS INFORMATICOS,,,,,,1780,1747
,327,22618,PROGRAMA PARA LA MUJER,,,,,,15000,16792.39
,327,22619,PROGRAMAS SOCIO-CULTURALES MAYORES,,,,,,8000,9978.38
,327,22699,PROYECTO AULA RESPIRO,,,,,,40000,24009.03
,330,48900,SUBVENCIONES CONCEJALIA CULTURA,,,,,,35500,66509.06
,334,21200,PROMOCIÓN CULTURAL. REPARAC. MANTEN. EDIFICIOS Y O.CONSTRUC,,,,,,5500,2890.67
,334,22100,PROMOCIÓN CULTURAL.ENERGÍA ELECTRÍCA.,,,,,,23000,18585.76
,334,22609,PROGRAMAS DE JUVENTUD,,,,,,49000,40019.74
,334,22699,PROMOCIÓN CULTURAL. GASTOS DIVERSOS (SARC),,,,,,179000,188923.78
,334,22700,PROMOCION CULTURAL. TRABAJOS REALIZADOS POR OTRAS EMPRESAS,,,,,,19500,16116.26
,334,48100,PROMOCIÓN CULTURAL. PREMIOS Y BECAS DE ESTUDIO E INVESTIGA,,,,,,9000,6222.15
,337,21200,REPARAC. Y  MANTENIMIENTO TEATRO LICEO,,,,,,1000,7787.53
,337,22612,ACTOS PARALELOS MUNDIAL MOTOCICLISMO,,,,,,30000,30105.87
,338,20200,ARRENDAMIENTOS EDIFICIOS Y OTRAS CONSTR.,,,,,,70000,57912.72
,338,22609,FESTEJOS POPULARES. ACTIVIDADES CULTURALES Y DEPORTIVAS,,,,,,140000,134603.11
,338,48100,FESTEJOS POPULARESPREMIOS Y BECAS DE ESTUDIO E INVESTIGACION,,,,,,5000,4000
,338,48900,SUBVENCIONES CONCEJALIA FIESTAS,,,,,,7600,7600
,340,48900,SUBVENCIONES CONCEJALIA DEPORTES,,,,,,170800,170800
,341,22609,EMD Y MANTENIMIENTO INSTALACIONES,,,,,,41000,36551.33
,341,22699,DEPORTES. GASTOS DIVERSOS,,,,,,30000,24200.75
,342,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC POLIDEPORTIVO,,,,,,5000,8815.7
,342,22100,ENERGÍA ELECTRÍCA. POLIDEPORTIVO,,,,,,38724.5,23964.83
,342,22102,INSTALACIONES DEPORTIVAS.GAS.,,,,,,5000,3307.45
,342,22110,PRODUCTOS LIMPIEZA Y ASEO POLIDEPORTIVO-PISCINAS,,,,,,1000,
,342,22700,LIMPIEZA Y ASEO POLIDEPORTIVO,,,,,,14000,13233.61
,342,62300,"INST. DEPORTIVAS. MAQUINARIA, INSTALACIONES Y UTILLAJE",,,,,,6275.5,6275.5
,342,62500,INST DEPORTIVAS. MOBILIARIO Y ENSERES,,,,,,5000,4995.7
,410,22100,AGRICULTURA.ENERGÍA ELECTRÍCA,,,,,,2500,1065.48
,414,22699,AGRICULTURA Y MEDIO AMBIENTE. GASTOS DIVERSOS,,,,,,7000,6178.48
,414,48900,SUBVENCIONES CONCEJALIA AGRICULTURA,,,,,,4000,3429.57
,420,22706,INDUSTRIA. TRABAJOS TECNICOS REALIZADOS POR OTRAS EMPRESAS,,,,,,5000,4000.02
,422,60000,TERRENOS Y BIENES NATURALES INDUSTRIALES DE USO COMUN,,,,,,400159.83,400159.83
,422,61906,Otras inversiones de reposición en infraestructuras y bienes,,,,,,1972196.1,1972196.1
,432,21200,REPARAC. Y MANT. ALBERGUE MUNICIPAL,,,,,,2500,307.71
,432,22602,MATERIAL PROMOCION TURISTICA,,,,,,17000,6327.43
,432,22699,GASTOS DIVERSOS TURISMO,,,,,,17807.76,24223.82
,432,60000,Inversiones en terrenos,,,,,,,
,454,21000,CAMINOS VECINALES.REPAR. INFRAESTRUC Y BIENES NATUR,,,,,,79049.77,80354.06
,454,61901,DESVIO BARRANCO DE LA SILLETA,,,,,,60500,60500
,912,10000,ORGANOS DE GOBIERNO. RETRIB.BÁSICAS,,,,,,135853.57,135138.15
,912,10001,ORGANOS DE GOBIERNO.OTRAS REMUNERACIONES.,,,,,,3000,446.84
,912,22601,ORGANOS DE GOBIERNO.ATENCIONES PROTOCOLARIAS Y REPRESENTATI,,,,,,11000,13561.51
,912,22602,ORG. GOBIERNO.PUBLICIDAD GABINETE DE PRENSA Y COMUNICACIÓN,,,,,,54863.5,56724.16
,912,23000,ORGANOS DE GOBIERNO.DIETAS DE CARGOS ELECTOS,,,,,,2628.5,63.01
,912,23100,LOCOMOCIÓN ÓRGANOS DE GOBIERNO,,,,,,2000,933.28
,912,23300,ORGANOS DE GOBIERNO OTRAS INDEMNIZACIONES,,,,,,5000,2556
,912,48900,ASIGNACION/AYUDA GRUPOS POLITICOS,,,,,,8000,7260
,912,50000,ORGANOS DE GOBIERNO. FONDO DE CONTINGENCIA,,,,,,,
,920,12000,ADMON. GRAL. RETRI BÁSICAS GRUPO A1,,,,,,45404.62,33960.98
,920,12001,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO A2.,,,,,,26760.05,27110.01
,920,12003,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO C1.,,,,,,102476.65,85648.8
,920,12004,ADMINISTRACIÓN GRAL. RETRIB BÁSICAS GRUPO C2.,,,,,,52116.5,52177.92
,920,12005,ADMINISTRACIÓN GENERAL. RETRIB BÁSICAS GRUPO E.,,,,,,23881.17,21119.44
,920,12006,ADMINISTRACIÓN GENERAL.TRIENIOS.,,,,,,48152.99,44904.7
,920,12009,ADMINSTRACIÓN GENERAL. OTRAS RETRIBUCIONES BÁSICAS.,,,,,,30000,16161.23
,920,12100,ADMINISTRACIÓN GENERAL. RETRIB. COMPLEMENTO DESTINO,,,,,,161844.78,135781.59
,920,12101,ADMINISTRACIÓN GENERAL. RETRIB. COMPLEMENTO ESPECÍFICO,,,,,,291071.47,242356.89
,920,13000,P. LABORAL FIJO ADMÓN GENERAL. RETRIBUCIONES BÁSICAS,,,,,,240174.83,155097.08
,920,13002,P. LABORAL FIJO ADMÓN GENERAL. OTRAS RETRIBUCIONES,,,,,,324029.93,229432.84
,920,13100,RETRIBUCIONES PERSONAL LABORAL TEMPORAL ADMÓN GENERAL,,,,,,431119.23,366486.43
,920,15000,P. FUNCIONARIO ADMÓN GENERAL. PRODUCTIVIDAD,,,,,,8000,6127.3
,920,15100,GRATIFICACIONES,,,,,,168000,167848.37
,920,16200,FORMACION Y PERFECCIONAMIENTO DEL PERSONAL,,,,,,4000,6910.6
,920,16205,ADMINISTRACIÓN GENERAL. SEGUROS,,,,,,15000,15659.09
,920,20200,ADMON GENERAL ARRENDAMIENTOS EDIFICIOS,,,,,,,
,920,20300,ADM GENERAL. ARRENDAMIENTO MAQU. INSTALAC. Y UTILL. GRAL.,,,,,,4000,3839.99
,920,20400,ARRENDAMIENTO ELEMENTO DE TRANSPORTE (RENTING VEHIC),,,,,,10000,17649.74
,920,21200,BIENESTAR COMUNITARIO.REPARAC. MANTENI. EDIF Y O.CONSTRUC,,,,,,20000,10727.83
,920,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,,1994
,920,21400,BIENESTAR COMUNITA.IMANTEN. Y REPARAC. VEHICULOS MUNICIPALES,,,,,,16000,12040.47
,920,21500,BIENESTRA COMUNITARIO.MANT. Y REPARAC. MOBILIARIO Y ENSERES,,,,,,12000,18270.65
,920,21600,MANT. Y REPARAC. EQUIPOS INFORMATICOS ADMON. GRAL.,,,,,,45000,46301.59
,920,22000,ADM. GRAL.MATERIAL DE OFICINA,,,,,,20000,20709.67
,920,22001,ADM. GRAL LIBROS Y PRENSA,,,,,,100,566.83
,920,22002,ADM GENERAL MATERIAL INFORMÁTICO NO INVENTARIABLE.,,,,,,20000,48419.34
,920,22100,BIENESTAR COMUNITARIO. ENERGÍA ELECTRÍCA,,,,,,63166.59,17432.58
,920,22103,ADM.GRAL COMBUSTIBLE Y CARBURANTES,,,,,,20000,20193.47
,920,22104,VESTUARIO SERVICIO MANTENIMIENTO MUNICIPAL,,,,,,3000,4292.92
,920,22110,ADM. GRAL PRODUCTOS DE LIMPIEZA Y ASEO.,,,,,,9000,8395.61
,920,22200,ADM. GRALTELEFONICAS,,,,,,20000,13702.7
,920,22201,ADM. GRAL.POSTALES,,,,,,50000,41135.25
,920,22300,ADM. GRALTRANSPORTES,,,,,,200,
,920,22400,ADM. GRAL. PRIMAS DE SEGUROS,,,,,,40000,18501.98
,920,22603,"ADM. GRALPUBLICACIONES OFICIALES (BOP, DOG, ...)",,,,,,7000,11079.31
,920,22604,ADM. GRAL. GASTOS NOTARIALES Y REGISTRALES,,,,,,10000,5412.58
,920,22609,ADM. GRAL. TRANSPARENCIA,,,,,,15000,12390.4
,920,22699,ADMINIS GENERAL. GASTOS DIVERSOS,,,,,,21000,43939.74
,920,22700,LIMPIEZA Y ASEO.,,,,,,1000,
,920,22707,ADM.GRAL ASESORAMIENTO JURÍDICO,,,,,,30000,60140.72
,920,22709,TRABAJOS REALIZADOS POR OTROS PROFESIONALES,,,,,,47110.88,18137.9
,920,22799,ADMINISTRACIÓN GENERAL. TRABAJOS REALIZADOS OTRAS EMPRESAS,,,,,,4710,1331
,920,23020,ADM.GRAL.DIETAS DEL PERSONAL,,,,,,500,10320.34
,920,23120,ADMINISTRACIÓN GENERAL. LOCOMOCIÓN,,,,,,1000,1732.09
,920,35200,ADMINSTRACION GENERAL INTERESES,,,,,,2500,
,920,46600,TRANSFERENICAS FEDERACION MUNICIPIOS,,,,,,3000,2509.96
,920,46700,TRANFERENICAS A CONSORCIOS,,,,,,3600,
,920,48100,ADMINISTRACION GEN. PREMIOS Y BECAS,,,,,,23332,19527.93
,920,50000,ADMÓN GENERAL. FONDO DE CONTINGENCIA,,,,,,130.53,
,920,62300,"MAQUINARIA, INSTALACIONES TECNICAS Y UTILLAJE",,,,,,10704.91,10621.2
,920,62400,VEHÍCULOS BRIGADA MUNICIPAL,,,,,,40000,39905.8
,920,62500,ADMIINISTRACION GENERAL. MOBILIARIO Y ENSERES,,,,,,27200,27145.97
,920,62600,ADMIINISTRACION GENERAL. EQUIPOS PARA PROCESOS INFORMATICOS,,,,,,10000,9888.13
,920,83000,ADMIINISTRACION GENERAL. PRESTAMOS PERSONAL,,,,,,10000,9961.27
,922,22705,PROCESOS ELECTORALES,,,,,,100,
,924,22699,PARTICIPACIÓN CIUDADANA. OTROS GASTOS DIVERSOS,,,,,,15000,14104.73
,932,22500,TRIBUTOS,,,,,,80000,79358.23
,932,22708,SERVICIOS DE RECAUDACION,,,,,,17500,35673.37
,933,62300,"EDIF. MUNICIPALES. MAQUINARIA, INSTALACIONES Y UTILLAJE",,,,,,25000,24996.01
,933,63200,GESTGION DEL PATRIMONIO.NVERSION EN EDIFICIOS Y OTRAS CONST,,,,,,1180150.33,42885.68
,933,63201,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,933,63202,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,50973.41,44503.46
,933,63203,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,933,63204,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,1145038.45,241850.7
,933,63205,INVERSION EN EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,104854.97,
,933,63206,INV OBRAS DE MEJORA EDIFICIO POLICIA,,,,,,13751.02,13751.02
,933,63300,REPOSICION INSTALACIONES EN EDIF MUNICIPALES,,,,,,5868.5,5868.5
,933,68200,EDIFICIOS Y OTRAS CONSTRUCCIONES,,,,,,,
,934,35900,OTROS GASTOS FINANCIEROS,,,,,,10000,6699.48
,942,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,,,51000,15800
,1532,21300,"VIAS PÚBLICAS.REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",,,,,,15000,30479.63
,1532,22699,VÍAS PÚBLICAS. MANT. SERVICIOS BIENESTAR COMUNITARIO,,,,,,17000,11027.46
,1532,61900,PAVIMENTACION VIAS PUBLICAS,,,,,,305446.52,278319.66
,1532,61901,INV DE REURBANIZACION RINCON DE PATIÑO,,,,,,35481,35481
,1532,61902,REURBANIZACION CALLE ANTONINO,,,,,,,
,1532,61903,REURBANIZACIÓN CALLE BONAIRE,,,,,,,
,1532,61904,REURBANIZACION CALLE PERALES,,,,,,,
,1532,61905,REURBANIZACION CALLE ACEQUIEROS,,,,,,,
,1621,22700,"RECOGIDA, ELIMINAICÓN RESIDUOS .LIMPIEZA Y ASEO",,,,,,360845,364132.47
,1623,22700,TRATAMIENTO RESIDUOS,,,,,,6000,5390.62
,1721,22699,PROTECCIÓN Y MEJORA MEDIO AMBIENTE. GASTOS DIVERSOS,,,,,,30000,12290.1
,1721,62300,INSTALACIONES TECNICAS. MEJORA MEDIO AMBIENTE,,,,,,15000,14751.11
,2311,22699,ALQUILER SOCIAL. GASTOS DIVERSOS,,,,,,45000,35537.5
,3321,22699,BIBLIOTECAS MUNICIPALES. GASTOS DIVERSOS,,,,,,1500,2895.4
,3321,62500,LIBROS Y ENSERES BIBLIOTECA MUNICIPAL,,,,,,4000,3918.4
,3322,22706,ARCHIVO. ESTUDIOS Y TRABAJOS TECNICOS. DIGITALIZACION,,,,,,50000,14676.81
,3322,62500,MOBILIARIO ARCHIVO,,,,,,20000,19991.17
,4312,21200,COMERCIO. REPARAC. Y MANT.,,,,,,2500,1164.96
,4312,22100,COMERCIO.ENERGÍA ELECTRÍCA,,,,,,16000,16077.97
,4312,22699,COMERCIO. GASTOS DIVERSOS,,,,,,6000,6505.83
