#Ejercicio,Org,Econ,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2018,,36900,OTRAS VENTAS,,,,
2018,,38900,REINTEGROS,,,20000,
2018,,39120,MULTAS,,,15000,77957.24
2018,,39200,RECARGOS POR DECLARACION EXTEMP SIN REQUERIMIENTO PREVIO,,,2000,81.6
2018,,39211,RECARGO DE APREMIO,,,25000,44916.81
2018,,39212,COSTAS RECAUDACION,,,500,8.42
2018,,39301,INTERESES DE DEMORA,,,4000,18809.34
2018,,39610,Cuotas de urbanización,,,,
2018,,39700,CANON POR APROVECHAMIENTOS URBANÍSTICOS.,,,,
2018,,39800,INDEMNIZACIONES DE SEGUROS DE NO VIDA,,,2000,4784.35
2018,,39900,OTROS INGRESOS DIVERSOS.,,,2000,534.4
2018,,39901,RECURSOS EVENTUALES,,,2000,-977.27
2018,,39902,ANUNCIOS,,,100,
2018,,42000,PARTICIPACION MUNICIPAL EN LOS TRIBUTOS DEL ESTADO,,,1530000,1566872.91
2018,,42090,OTRAS TRANSFERENCIAS CORRIENTES DEL ESTADO,,,,
2018,,42300,"DE EMPRESAS PUBLICAS Y OTROS ENTES(FVMP,..)",,,,10372.01
2018,,45001,TRANSFERENCIAS CCAA INCONDICIONADAS,,,111216,169561.66
2018,,45002,DE LA ADMON. GRAL. C.V. CONS. SANIDAD (UPC),,,12000,15932
2018,,45003,DE LA ADMON GENERAL DE LAS CCAA (EMCORD),,,,
2018,,45004,DE LA ADMON GENERAL DE LAS CCAA (EMCORP),,,,
2018,,45030,"CONSELLERIA DEPORTES/EDUCACIÓN (EPA, programas deportivos...",,,40000,29949.61
2018,,45050,DE LA ADMON. GRAL C.V.  CONS. (ADL),,,71491.42,31737.42
2018,,45051,DE LA ADMON GENERAL DE CCAA (EMCUJU),,,91511.41,81382.68
2018,,45052,DE LA ADMON GENERAL DE CCAA (EMPUJU),,,41095.05,31506.12
2018,,45080,DE LA ADMON. GRAL. C.V. CONS. TURISMO Y OTROS,,,42449.75,55684.82
2018,,46100,"DIPUTAC. PROVINCIAL CULTURA/BIENESTAR SOCIAL (JUVENT., SARC.",,,98799.7,211484.91
2018,,46101,TRANSFERENCIAS DE DIPUTACION INCONDICIONADAS,,,111216,111216
2018,,46202,OTRAS SUBVENCIONES DIPUTACION PROVINCIAL,,,5600,30011.2
2018,,46300,TRANSFERENCIAS MANCOMUNIDAD HOYA BUÑOL,,,,
2018,,47000,APORT.EMPRESAS PRIVADAS (MUNDIAL),,,,
2018,,47001,TRANSFERENCIAS DE EMPRESAS PRIVADAS,,,,
2018,,48001,DE FAMILIAS E INSTITUCIONES (ENTS BANCARIAS),,,,
2018,,48002,TRANSFERENCIAS CORRIENTES. OTROS,,,,2273.73
2018,,48004,DONACIONES,,,,
2018,,52000,INTERESES EN CUENTAS CORRIENTES,,,10000,1111.89
2018,,54200,PRODUCTO ARRENDAMIENTOS FINCAS RUSTICAS,,,25000,25323.24
2018,,55000,DE CONCESIONES ADMTIVAS CON CONTRAPRESTACIÓN PERIÓDICA,,,36000,9020.9
2018,,55500,EXPLOTACION CANTERAS,,,,
2018,,55900,OTROS (CANONES),,,50000,44784
2018,,60000,ENAJENACION SOLARES,,,2503743.57,2503743.58
2018,,60100,ENAJENACION FINCAS RUSTICAS,,,,
2018,,60200,PARCELAS SOBRANTES VIA PUBLICA,,,,
2018,,72000,TRANSFERENCIAS DE CAPITAL DEL ESTADO,,,,
2018,,75000,SUBVENCION GENERALITAT,,,,955.69
2018,,75001,CONSELLERIA (PLAN MEJORA MUNICIPIOS C.V.),,,,
2018,,75003,TRANSFERENCIAS DE CAPITAL DE LA CCAA EN MATERIA DE EDUCACION,,,,
2018,,75060,OTRAS TRANSF DE CAPITAL EN CUMP DE CONV SUSCRITOS CON LA C.A,,,,
2018,,76100,TRANSFERENCIAS DE CAPITAL DE DIPUTACIÓN.,,,530222.43,612174.39
2018,,76104,TRANSFERENCIAS DE CAPITAL,,,,
2018,,76300,DE MANCOMUNIDADES DE MUNICIPIOS,,,,
2018,,77000,TRANSFERENCIA CAPITAL EMPRESAS PRIVADAS,,,,
2018,,78000,TRANSFERENCIA FAMILIAS E  INST. SIN FINES LUCRO,,,,
2018,,83000,REINTEGRO DE PRÉSTAMOS AL PERSONAL,,,10000,12559.06
2018,,87000,REMANENTE DE TESORERIA,,,2201251.9,
2018,,87010,APLICACION FINANCIACION INCORPORAC CREDITO (RTE. TES. GFA),,,612814.67,
2018,,91100,PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.,,,,
2018,,91101,PRÉSTAMOS INVERSIONES LARGO PLAZO,,,,
2018,,91300,Préstamos recibidos a largo plazo de entes de fuera del sect,,,1500000,
